"","X","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"2287",2287,"SPD",0.402061855670103,0.538461538461538,0.866666666666667,0.352941176470588,0.683333333333333,0.593220338983051,0.470588235294118,0.553191489361702,0.515151515151515,"H",2.9,3.4,2.35
"2288",2288,"SPD",0.577319587628866,0.423076923076923,0.4,0.0769230769230769,0.65,0.576271186440678,0.725490196078431,0.51063829787234,0.424242424242424,"A",4.33,3.4,1.83
"2289",2289,"SPD",0.298969072164948,0.192307692307692,0.466666666666667,1.625,0.541666666666667,0.355932203389831,0.352941176470588,0.709219858156028,0.53030303030303,"D",2.2,3.25,3.25
"2292",2292,"SPD",0.298969072164948,0.153846153846154,0.266666666666667,0.85,0.366666666666667,0.23728813559322,0.274509803921569,0.645390070921986,0.53030303030303,"H",3.2,3.3,2.2
"2296",2296,"SPD",0.43298969072165,0.230769230769231,0.4,5,0.491666666666667,0.338983050847458,0.392156862745098,0.638297872340426,0.5,"H",1.5,3.75,7.5
"2298",2298,"SPD",0.319587628865979,0.0769230769230769,0.266666666666667,0.928571428571429,0.533333333333333,0.389830508474576,0.529411764705882,0.588652482269504,0.181818181818182,"H",2.1,3.3,3.5
"2300",2300,"SPD",0.298969072164948,0.346153846153846,0.466666666666667,1.41666666666667,0.541666666666667,0.355932203389831,0.529411764705882,0.730496453900709,0.939393939393939,"H",2,3.3,3.75
"2301",2301,"SPD",0.34020618556701,0.192307692307692,0.4,0.526315789473684,0.591666666666667,0.372881355932203,0.411764705882353,0.609929078014184,0.303030303030303,"A",2.75,3.25,2.5
"2302",2302,"SPD",0.381443298969072,0.153846153846154,0.533333333333333,0.5,0.383333333333333,0.152542372881356,0.568627450980392,0.865248226950355,0.636363636363636,"H",2.1,3.3,3.5
"2303",2303,"SPD",0.329896907216495,0.307692307692308,0.466666666666667,1.83333333333333,0.525,0.322033898305085,0.450980392156863,0.652482269503546,0.484848484848485,"H",2,3.3,3.75
"2304",2304,"SPD",0.195876288659794,0.230769230769231,0.466666666666667,2.85714285714286,0.383333333333333,0.322033898305085,0.509803921568628,0.631205673758865,0.333333333333333,"H",1.22,6,13
"2309",2309,"SPD",0.237113402061856,0,0,1.11764705882353,0.4,0.254237288135593,0.588235294117647,0.602836879432624,0.424242424242424,"H",1.9,3.4,4
"2310",2310,"SPD",0.43298969072165,0.5,0.666666666666667,0.666666666666667,0.683333333333333,0.559322033898305,0.627450980392157,0.588652482269504,0.439393939393939,"A",2.5,3.3,2.75
"2312",2312,"SPD",0.195876288659794,0.230769230769231,0.4,5,0.391666666666667,0.355932203389831,0.431372549019608,0.588652482269504,0.393939393939394,"H",1.28,5.25,11
"2313",2313,"SPD",0.350515463917526,0.461538461538462,0.466666666666667,1.83333333333333,0.591666666666667,0.559322033898305,0.607843137254902,0.609929078014184,0.303030303030303,"H",2.1,3.25,3.6
"2316",2316,"SPD",0.0618556701030928,0.115384615384615,0.4,1.45454545454545,0.283333333333333,0.305084745762712,0.549019607843137,0.617021276595745,0.363636363636364,"A",1.72,3.25,4.33
"2318",2318,"SPD",0.350515463917526,0.346153846153846,0.666666666666667,0.916666666666667,0.541666666666667,0.406779661016949,0.490196078431373,0.581560283687943,0.393939393939394,"H",2.2,3.3,3.25
"2319",2319,"SPD",0.484536082474227,0.384615384615385,0.4,0.8,0.483333333333333,0.440677966101695,0.254901960784314,0.595744680851064,0.5,"A",1.85,3.6,4
"2321",2321,"SPD",0.329896907216495,0.0769230769230769,0.333333333333333,8.5,0.558333333333333,0.23728813559322,0.529411764705882,0.709219858156028,0.287878787878788,"H",1.22,6,12
"2322",2322,"SPD",0.54639175257732,0.230769230769231,0.733333333333333,0.15,0.458333333333333,0.23728813559322,0.450980392156863,0.51063829787234,0.303030303030303,"A",4.75,3.6,1.72
"2323",2323,"SPD",0.463917525773196,0.269230769230769,0.4,0.263157894736842,0.508333333333333,0.372881355932203,0.450980392156863,0.730496453900709,0.484848484848485,"H",3.1,3.25,2.3
"2324",2324,"SPD",0.329896907216495,0.307692307692308,0.466666666666667,1.07142857142857,0.541666666666667,0.440677966101695,0.411764705882353,0.624113475177305,0.439393939393939,"A",2.05,3.3,3.6
"2329",2329,"SPD",0.597938144329897,0.538461538461538,0.466666666666667,0.166666666666667,0.608333333333333,0.559322033898305,0.627450980392157,0.517730496453901,0.46969696969697,"H",4.75,3.6,1.72
"2331",2331,"SPD",0.195876288659794,0.192307692307692,0.2,2.5,0.466666666666667,0.406779661016949,0.450980392156863,0.49645390070922,0.242424242424242,"H",1.57,3.75,6
"2332",2332,"SPD",0.484536082474227,0.307692307692308,0.8,0.833333333333333,0.633333333333333,0.440677966101695,0.666666666666667,0.531914893617021,0.333333333333333,"A",2.1,3.3,3.5
"2334",2334,"SPD",0.268041237113402,0.230769230769231,0.2,1.35714285714286,0.441666666666667,0.338983050847458,0.490196078431373,0.666666666666667,0.560606060606061,"H",1.8,3.4,4.75
"2339",2339,"SPD",0.34020618556701,0.153846153846154,0.266666666666667,0.888888888888889,0.466666666666667,0.23728813559322,0.666666666666667,0.645390070921986,0.545454545454545,"H",2.35,3.3,3
