"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"3120","EPL",0.0674157303370786,0.4,0.333333333333333,1.33333333333333,0.491525423728814,0.479452054794521,0.416666666666667,0.440366972477064,0.244897959183673,"H",1.44,4.33,7.5
"3121","EPL",0.134831460674157,0.55,0.8,1.5,0.728813559322034,0.712328767123288,0.7,0.458715596330275,0.326530612244898,"D",3,3.3,2.4
"3122","EPL",0.0786516853932584,0.1,0.0666666666666667,0.882352941176471,0.525423728813559,0.438356164383562,0.466666666666667,0.385321100917431,0.530612244897959,"H",2,3.3,4
"3123","EPL",0.0898876404494382,0.25,0.533333333333333,1.71428571428571,0.5,0.493150684931507,0.3,0.486238532110092,0.163265306122449,"A",2,3.3,4
"3124","EPL",0.0674157303370786,0.45,0.266666666666667,1.05882352941176,0.457627118644068,0.424657534246575,0.383333333333333,0.522935779816514,0.326530612244898,"A",2.2,3.2,3.5
"3125","EPL",0.123595505617978,0.35,0.6,1.6,0.567796610169491,0.438356164383562,0.4,0.302752293577982,0.163265306122449,"D",1.29,5.5,11
"3126","EPL",0.0561797752808989,0.15,0,4.75,0.423728813559322,0.424657534246575,0.466666666666667,0.477064220183486,0.469387755102041,"H",1.57,3.8,6.5
"3127","EPL",0.0898876404494382,0.35,0.4,0.6875,0.364406779661017,0.315068493150685,0.383333333333333,0.376146788990826,0.408163265306122,"D",2,3.4,3.8
"3128","EPL",0.134831460674157,0.2,0.466666666666667,0.7,0.432203389830508,0.356164383561644,0.416666666666667,0.605504587155963,0.489795918367347,"H",1.53,4,6.5
"3129","EPL",0.146067415730337,0.6,0.866666666666667,0.315789473684211,0.694915254237288,0.684931506849315,0.566666666666667,0.495412844036697,0.326530612244898,"A",4,3.5,1.91
"3130","EPL",0.0786516853932584,0.3,0.266666666666667,0.933333333333333,0.525423728813559,0.438356164383562,0.4,0.605504587155963,0.551020408163265,"A",2.25,3.25,3.3
"3131","EPL",0.247191011235955,0.75,0.866666666666667,0.5,0.788135593220339,0.698630136986301,0.566666666666667,0.440366972477064,0.163265306122449,"A",2,3.4,3.8
"3132","EPL",0.213483146067416,0.75,0.8,0.272727272727273,0.669491525423729,0.589041095890411,0.416666666666667,0.495412844036697,0.551020408163265,"H",9.5,5,1.33
"3133","EPL",0.146067415730337,0.6,0.6,2,0.754237288135593,0.726027397260274,0.8,0.385321100917431,0.204081632653061,"A",1.62,4,5.5
"3134","EPL",0.224719101123595,0.4,0.533333333333333,0.166666666666667,0.542372881355932,0.493150684931507,0.533333333333333,0.44954128440367,0.510204081632653,"A",4.5,3.6,1.8
"3135","EPL",0.0898876404494382,0.2,0.0666666666666667,16,0.694915254237288,0.643835616438356,0.583333333333333,0.495412844036697,0.408163265306122,"H",1.17,7,19
"3136","EPL",0.0561797752808989,0.35,0.266666666666667,2.375,0.406779661016949,0.36986301369863,0.383333333333333,0.651376146788991,0.63265306122449,"D",1.91,3.6,4
