"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"1582","SPD",0.43298969072165,0.307692307692308,0.733333333333333,4,0.525,0.457627118644068,0.313725490196078,0.48936170212766,0.424242424242424,"H",1.62,3.75,5.5
"1583","SPD",0.257731958762887,0.153846153846154,0.2,2.28571428571429,0.4,0.271186440677966,0.392156862745098,0.687943262411348,0.378787878787879,"A",1.57,3.6,6
"1584","SPD",0.525773195876289,0.269230769230769,0.466666666666667,0.666666666666667,0.75,0.593220338983051,0.843137254901961,0.404255319148936,0.409090909090909,"D",3.1,3.3,2.3
"1585","SPD",0.319587628865979,0.269230769230769,0.4,2,0.591666666666667,0.372881355932203,0.607843137254902,0.730496453900709,0.712121212121212,"A",1.67,3.75,5
"1586","SPD",0.443298969072165,0.192307692307692,0.466666666666667,1.2,0.466666666666667,0.288135593220339,0.666666666666667,0.659574468085106,0.424242424242424,"A",1.91,3.4,4
"1587","SPD",0.402061855670103,0.153846153846154,0.533333333333333,3.2,0.541666666666667,0.389830508474576,0.411764705882353,0.312056737588652,0.378787878787879,"H",1.83,3.5,4.33
"1588","SPD",0.268041237113402,0.0384615384615385,0.0666666666666667,1.42857142857143,0.358333333333333,0.203389830508475,0.392156862745098,0.48936170212766,0.46969696969697,"H",1.5,4,6.5
"1589","SPD",0.484536082474227,0.153846153846154,0.266666666666667,0.352941176470588,0.45,0.220338983050847,0.450980392156863,0.418439716312057,0.545454545454545,"D",1.8,3.5,4.5
"1590","SPD",0.494845360824742,0.307692307692308,0.6,0.538461538461538,0.525,0.406779661016949,0.588235294117647,0.617021276595745,0.46969696969697,"D",3.2,3.3,2.25
"1591","SPD",0.56701030927835,0.346153846153846,0.533333333333333,0.75,0.475,0.389830508474576,0.470588235294118,0.574468085106383,0.484848484848485,"H",2.2,3.4,3.2
"1592","SPD",0.474226804123711,0.307692307692308,0.466666666666667,9,0.758333333333333,0.423728813559322,0.705882352941177,0.390070921985816,0.424242424242424,"H",1.22,6,13
"1593","SPD",0.835051546391753,0.5,0.8,0.133333333333333,0.65,0.661016949152542,0.823529411764706,0.361702127659574,0.333333333333333,"A",9,5,1.33
"1594","SPD",0.525773195876289,0.461538461538462,0.8,0.666666666666667,0.466666666666667,0.474576271186441,0.274509803921569,0.815602836879433,0.363636363636364,"D",2.3,3.25,3
"1595","SPD",0.494845360824742,0.192307692307692,0.666666666666667,0.315789473684211,0.525,0.271186440677966,0.745098039215686,0.48936170212766,0.393939393939394,"H",3.2,3.4,2.2
